taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NBNSYS0000035815,species,Cephaloziella rubella,(Nees) Warnst.,,Red Threadwort,Native,,Cephaloziella,Cephaloziellaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000035781,species,Calypogeia fissa,(L.) Raddi,,Common Pouchwort,Native,freshwater,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021597937,genus,Myriocoleopsis,Schiffn.,,,Native,terrestrial,,Lejeuneaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309592,species,Cephalozia lunulifolia,(Dumort.) Dumort.,,Moon-leaved Pincerwort,Native,,Cephalozia,Cephaloziaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309784,species,Diplophyllum albicans,(L.) Dumort.,,White Earwort,Native,freshwater,Diplophyllum,Scapaniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000036019,species,Fossombronia fimbriata,Paton,,Fragile Frillwort,Native,freshwater,Fossombronia,Fossombroniaceae,Fossombroniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309359,species,Anthelia juratzkana,(Limpr.) Trevis.,,Scarce Silverwort,Native,,Anthelia,Antheliaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309950,genus,Marsupella,Dumort.,,,Native,freshwater,,Gymnomitriaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310305,species,Plagiochila spinulosa,(Dicks.) Dumort.,,Prickly Featherwort,Native,,Plagiochila,Plagiochilaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309783,genus,Diplophyllum,(Dumort.) Dumort.,,,Native,,,Scapaniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310148,genus,Lepidozia,(Dumort.) Dumort.,,,Native,,,Lepidoziaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309948,genus,Marchesinia,Gray,,,Native,,,Lejeuneaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021597942,species,Myriocoleopsis minutissima,"(Sm.) R.L.Zhu, Y.Yu & Pócs",,Minute Pouncewort,Native,terrestrial,Myriocoleopsis,Lejeuneaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
