"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Carex strigosa Huds."	"2cd4p9h.y6"	"2cd4p9h.y6"	"Carex strigosa Huds."	7	7	"Carex strigosa"				
"Carex vaginata Tausch"	"2cd4p9h.y9"	"2cd4p9h.y9"	"Carex vaginata Tausch"	6	6	"Carex vaginata"				
"Carpinus betulus L."	"2cd4p9h.yf"	"2cd4p9h.yf"	"Carpinus betulus L."	5	5	"Carpinus betulus"				
"Castanea sativa Mill."	"2cd4p9h.yx"	"2cd4p9h.yx"	"Castanea sativa Mill."	5	5	"Castanea sativa"				
"Centaurium littorale (Turner ex Sm.) Gilmour"	"2cd4p9h.yr"	"2cd4p9h.yr"	"Centaurium littorale (Turner ex Sm.) Gilmour"	8	8	"Centaurium littorale"				
"Chaerophyllum temulum L."	"2cd4p9h.ph"	"2cd4p9h.ph"	"Chaerophyllum temulum L."	7	7	"Chaerophyllum temulum"				
"Chenopodium album agg."	"2cd4p9h.pn"	"2cd4p9h.pn"	"Chenopodium album agg."	7	7	"Chenopodium album"	"agg."			
"Chenopodium album L. s.s."	"2cd4p9h.pq"	"2cd4p9h.pq"	"Chenopodium album L. s.s."	7	7	"Chenopodium album"	"s.s."			
"Leucanthemum vulgare Lam."	"2cd4p9h.q4"	"2cd4p9h.q4"	"Leucanthemum vulgare Lam."	7	7	"Leucanthemum vulgare"				
"Cirsium vulgare (Savi) Ten."	"2cd4p9h.qd"	"2cd4p9h.qd"	"Cirsium vulgare (Savi) Ten."	6	6	"Cirsium vulgare"				
"Convolvulus arvensis L."	"2cd4p9h.qs"	"2cd4p9h.qs"	"Convolvulus arvensis L."	8	8	"Convolvulus arvensis"				
"Corrigiola litoralis L."	"2cd4p9h.r3"	"2cd4p9h.r3"	"Corrigiola litoralis L."	5	5	"Corrigiola litoralis"				
"Corylus avellana L."	"2cd4p9h.r9"	"2cd4p9h.r9"	"Corylus avellana L."	6	6	"Corylus avellana"				
"Cotoneaster horizontalis Decne."	"2cd4p9h.rf"	"2cd4p9h.rf"	"Cotoneaster horizontalis Decne."	8	8	"Cotoneaster horizontalis"				
"Crepis capillaris (L.) Wallr."	"2cd4p9h.rx"	"2cd4p9h.rx"	"Crepis capillaris (L.) Wallr."	7	7	"Crepis capillaris"				
"Crepis paludosa (L.) Moench"	"2cd4p9h.ry"	"2cd4p9h.ry"	"Crepis paludosa (L.) Moench"	6	6	"Crepis paludosa"				
"Cynodon dactylon (L.) Pers."	"2cd4p9h.s5"	"2cd4p9h.s5"	"Cynodon dactylon (L.) Pers."	7	7	"Cynodon dactylon"				
"Dactylorhiza maculata (L.) Soó"	"2cd4p9h.sq"	"2cd4p9h.sq"	"Dactylorhiza maculata (L.) Soó"	3	3	"Dactylorhiza maculata"				
"Physospermum cornubiense (L.) DC."	"2cd4p9h.t7"	"2cd4p9h.t7"	"Physospermum cornubiense (L.) DC."	4	4	"Physospermum cornubiense"				
"Consolida ajacis (L.) Schur"	"2cd4p9h.td"	"2cd4p9h.td"	"Consolida ajacis (L.) Schur"	8	8	"Consolida ajacis"				
"Drosera rotundifolia L."	"2cd4p9h.z3"	"2cd4p9h.z3"	"Drosera rotundifolia L."	2	2	"Drosera rotundifolia"				
"Hyacinthoides non-scripta (L.) Chouard ex Rothm."	"2cd4p9h.z9"	"2cd4p9h.z9"	"Hyacinthoides non-scripta (L.) Chouard ex Rothm."	5	5	"Hyacinthoides non-scripta"				
"Epilobium parviflorum Schreb."	"2cd4p9h.zf"	"2cd4p9h.zf"	"Epilobium parviflorum Schreb."	7	7	"Epilobium parviflorum"				
"Erigeron karvinskianus DC."	"2cd4p9h.zr"	"2cd4p9h.zr"	"Erigeron karvinskianus DC."	7	7	"Erigeron karvinskianus"				
"Euonymus europaeus L."	"2cd4p9h.10h"	"2cd4p9h.10h"	"Euonymus europaeus L."	8	8	"Euonymus europaeus"				
"Euphorbia helioscopia L."	"2cd4p9h.10t"	"2cd4p9h.10t"	"Euphorbia helioscopia L."	6	6	"Euphorbia helioscopia"				
"Euphorbia portlandica L."	"2cd4p9h.111"	"2cd4p9h.111"	"Euphorbia portlandica L."	7	7	"Euphorbia portlandica"				
"Euphrasia micrantha Rchb."	"2cd4p9h.117"	"2cd4p9h.117"	"Euphrasia micrantha Rchb."	2	2	"Euphrasia micrantha"				
