"SITE.x","PLOT.x","Samp_id","Yr_2","BRC_NUMBER","BRC_NAMES","Storm","Label"
2,7,"2_7",2,920513,"Circaea lutetiana",1,"y"
2,7,"2_7",1,920520,"Cirsium palustre",1,"y"
2,7,"2_7",2,920557,"Corylus avellana",1,"y"
2,7,"2_7",1,920557,"Corylus avellana",1,"y"
2,7,"2_7",1,920569,"Crataegus monogyna",1,"y"
2,7,"2_7",1,920627,"Deschampsia cespitosa",1,"y"
2,7,"2_7",1,920640,"Digitalis purpurea",1,"y"
2,7,"2_7",2,920687,"Hyacinthoides non-scripta",1,"y"
2,7,"2_7",1,920695,"Epilobium montanum",1,"y"
2,7,"2_7",1,920838,"Fragaria vesca",1,"y"
2,7,"2_7",2,920841,"Fraxinus excelsior",1,"y"
2,7,"2_7",1,920841,"Fraxinus excelsior",1,"y"
2,7,"2_7",1,920873,"Galium aparine",1,"y"
2,7,"2_7",1,920882,"Galium palustre",1,"y"
2,7,"2_7",1,920918,"Geranium robertianum",1,"y"
2,7,"2_7",1,920925,"Geum urbanum",1,"y"
2,7,"2_7",1,920931,"Glechoma hederacea",1,"y"
2,7,"2_7",2,920952,"Hedera helix",1,"y"
2,7,"2_7",1,920952,"Hedera helix",1,"y"
2,7,"2_7",1,920983,"Holcus lanatus",1,"y"
2,7,"2_7",2,8201103,"Brachythecium sp.",1,"y"
2,7,"2_7",1,9201014,"Hypericum perforatum",1,"y"
2,7,"2_7",2,9201023,"Ilex aquifolium",1,"y"
2,7,"2_7",1,9201067,"Juncus effusus",1,"y"
2,7,"2_7",1,9201188,"Lonicera periclymenum",1,"y"
2,7,"2_7",2,9201188,"Lonicera periclymenum",1,"y"
2,7,"2_7",1,9201207,"Luzula pilosa",1,"y"
2,7,"2_7",1,9201210,"Lychnis flos-cuculi",1,"y"
2,7,"2_7",2,9201221,"Lysimachia nemorum",1,"y"
2,7,"2_7",1,9201225,"Lysimachia vulgaris",1,"y"
2,7,"2_7",1,9201413,"Oxalis acetosella",1,"y"
2,7,"2_7",1,9201504,"Poa nemoralis/trivialis",1,"y"
2,7,"2_7",1,9201507,"Poa nemoralis/trivialis",1,"y"
2,7,"2_7",2,9201507,"Poa nemoralis/trivialis",1,"y"
2,7,"2_7",2,9201649,"Ranunculus ficaria",1,"y"
2,7,"2_7",1,9201660,"Ranunculus repens",1,"y"
2,7,"2_7",1,9201705,"Rosa seedling/sp",1,"y"
2,7,"2_7",1,9201728,"Rubus fruticosus agg.",1,"y"
2,7,"2_7",2,9201728,"Rubus fruticosus agg.",1,"y"
2,7,"2_7",1,9201748,"Rumex obtusifolius",1,"y"
2,7,"2_7",1,9201789,"Salix cin/cap",1,"y"
2,7,"2_7",1,9201819,"Sanicula europaea",1,"y"
2,7,"2_7",1,9201867,"Scrophularia nodosa",1,"y"
2,7,"2_7",1,9201947,"Solanum dulcamara",1,"y"
2,7,"2_7",2,9201960,"Sorbus aucuparia",1,"y"
2,7,"2_7",1,9202005,"Stachys sylvatica",1,"y"
2,7,"2_7",2,9202012,"Stellaria media",1,"y"
2,7,"2_7",2,9202172,"Veronica montana",1,"y"
