BIOTOPE_SHORT_TERM1,BIOTOPE_FULL_TERM1,BIOTOPE_CODE1,CLASSN1,BIOTOPE_SHORT_TERM2,BIOTOPE_FULL_TERM2,BIOTOPE_CODE2,CLASSN2,RELATIONSHIP,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Ceratophyllum demersum community,<i>Ceratophyllum demersum</i> community,A5,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Nuphar lutea community,<i>Nuphar lutea</i> community,A8,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Potamogeton pectinatus - Myriophyllum spicatum community,<i>Potamogeton pectinatus</i>-<i>Myriophyllum spicatum</i> community,A11,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Elodea canadensis community,<i>Elodea canadensis</i> community,A15,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Ranunculus peltatus community,<i>Ranunculus peltatus</i> community,A20,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Lemna minor community,<i>Lemna minor</i> community,A2,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Potamogeton pectinatus community,<i>Potamogeton pectinatus</i> community,A12,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Scirpus lacustris ssp. lacustris swamp,<i>Scirpus lacustris</i> ssp. <i>lacustris</i> swamp,S8,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Typha latifolia swamp,<i>Typha latifolia</i> swamp,S12,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Scirpus lacustris ssp. tabernaemontani swamp,<i>Scirpus lacustris</i> ssp. <i>tabernaemontani</i> swamp,S20,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Phalaris arundinacea tall-herb fen,<i>Phalaris arundinacea</i> tall-herb fen,S28,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Spirodela polyrhiza - Hydrocharis morsus-ranae community,<i>Spirodela polyrhiza</i>-<i>Hydrocharis morsus-ranae</i> community,A3,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Hydrocharis morsus-ranae - Stratiotes aloides community,<i>Hydrocharis morsus-ranae</i>-<i>Stratiotes aloides</i> community,A4,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Ranunculus aquatilis community,<i>Ranunculus aquatilis</i> community,A19,National Vegetation Classification,may include,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Other tall herb and fern: non ruderal,Other tall herb and fern: non ruderal,C32,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Festuca rubra-Hyacinthoides non-scripta maritime bluebell co,<i>Festuca rubra</i>-<i>Hyacinthoides non-scripta</i> maritime bluebell community,MC12,National Vegetation Classification,may include,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Armeria maritima sub-community,<i>Calluna vulgaris</i>-<i>Scilla verna</i> heath: <i>Armeria maritima</i> subcommunity,H7a,National Vegetation Classification,may include,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Festuca ovina-Carlina vulgaris grassland,<i>Festuca ovina</i>-<i>Carlina vulgaris</i> grassland,CG1,National Vegetation Classification,may include,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Cultivated/disturbed land: ephemeral/short perennial,Cultivated/disturbed land: ephemeral/short perennial,J13,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Maritime cliff and slope: coastal heathland,Maritime cliff and slope: coastal heathland,H85,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Maritime cliff and slope: coastal grassland,Maritime cliff and slope: coastal grassland,H84,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Maritime cliff and slope: crevice/ledge vegetation,Maritime cliff and slope: crevice/ledge vegetation,H83,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Maritime cliff and slope: soft cliff,Maritime cliff and slope: soft cliff,H82,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Maritime cliff and slope: hard cliff,Maritime cliff and slope: hard cliff,H81,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Strandline vegetation,Strandline vegetation,H5,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Running water,Running water,G2,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Standing water,Standing water,G1,Phase 1 Habitat Classification,potentially overlaps with,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Ranunculus aquatilis community,<i>Ranunculus aquatilis</i> community,A19,National Vegetation Classification,may include,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Scrub,Scrub,A2,Phase 1 Habitat Classification,potentially overlaps with,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Potamogeton natans community,<i>Potamogeton natans</i> community,A9,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Polygonum amphibium community,<i>Polygonum amphibium</i> community,A10,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Potamogeton pectinatus - Myriophyllum spicatum community,<i>Potamogeton pectinatus</i>-<i>Myriophyllum spicatum</i> community,A11,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,Ranunculus peltatus community,<i>Ranunculus peltatus</i> community,A20,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,"Widespread, often large, mid-altitude circumneutral lakes","Widespread, often large, mid-altitude circumneutral lakes, with a high diversity of plants",D,Vegetation communities of British lakes,overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Swamp,Swamp,F1,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,"Woodland: broadleaved, semi-natural","Woodland: broadleaved, semi-natural",A111,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Flush and spring,Flush and spring,E2,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Acid grassland,Acid grassland,B1,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Neutral grassland,Neutral grassland,B2,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Calcareous grassland,Calcareous grassland,B3,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Marsh/marshy grassland,Marsh/marshy grassland,B5,Phase 1 Habitat Classification,potentially overlaps with,
Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,Bracken,Bracken,C1,Phase 1 Habitat Classification,potentially overlaps with,
Aquifer fed naturally fluctuating water bodies,Aquifer fed naturally fluctuating water bodies,,Biodiversity Action Plan Priority Habitats,Eleocharis palustris swamp,<i>Eleocharis palustris</i> swamp,S19,National Vegetation Classification,may include,
Mesotrophic lakes,Mesotrophic lakes,,Biodiversity Action Plan Priority Habitats,"Northern, low altitude and coastal, above-neutral lakes","Northern, often large, low altitude and coastal, above-neutral lakes with high diversity of plant species",E,Vegetation communities of British lakes,overlaps with,
Purple moor grass and rush pasture,Purple moor grass and rush pasture,,Biodiversity Action Plan Priority Habitats,Swamp,Swamp,F1,Phase 1 Habitat Classification,potentially overlaps with,
Cereal field margins,Cereal field margins,,Biodiversity Action Plan Priority Habitats,Veronica persica-Veronica polita community,<i>Veronica persica</i>-<i>Veronica polita</i> community,OV7,National Vegetation Classification,may include,
Cereal field margins,Cereal field margins,,Biodiversity Action Plan Priority Habitats,Chrysanthemum segetum-Spergula arvensis community,<i>Chrysanthemum segetum</i>-<i>Spergula arvensis</i> community,OV4,National Vegetation Classification,may include,
Cereal field margins,Cereal field margins,,Biodiversity Action Plan Priority Habitats,Papaver rhoeas-Viola arvensis community,<i>Papaver rhoeas</i>-<i>Viola arvensis</i> community,OV3,National Vegetation Classification,may include,
Reedbeds,Reedbeds,,Biodiversity Action Plan Priority Habitats,Carex rostrata-Potentilla palustris tall-herb fen,<i>Carex rostrata</i>-<i>Potentilla palustris</i> tall-herb fen,S27,National Vegetation Classification,possibly includes,
Reedbeds,Reedbeds,,Biodiversity Action Plan Priority Habitats,Phragmites australis-Peucedanum palustris tall-herb fen,<i>Phragmites australis</i>-<i>Peucedanum palustris</i> tall-herb fen,S24,National Vegetation Classification,possibly includes,
Reedbeds,Reedbeds,,Biodiversity Action Plan Priority Habitats,Phragmites australis-Urtica dioica tall-herb fen,<i>Phragmites australis</i>-<i>Urtica dioica</i> tall-herb fen,S26,National Vegetation Classification,may include,
Reedbeds,Reedbeds,,Biodiversity Action Plan Priority Habitats,Phragmites australis-Eupatorium cannabinum tall-herb fen,<i>Phragmites australis</i>-<i>Eupatorium cannabinum</i> tall-herb fen,S25,National Vegetation Classification,may include,
Reedbeds,Reedbeds,,Biodiversity Action Plan Priority Habitats,Phragmites australis swamp and reed-beds,<i>Phragmites australis</i> swamp and reed-beds,S4,National Vegetation Classification,may include,
Reedbeds,Reedbeds,,Biodiversity Action Plan Priority Habitats,Swamp,Swamp,F1,Phase 1 Habitat Classification,potentially overlaps with,
Purple moor grass and rush pasture,Purple moor grass and rush pasture,,Biodiversity Action Plan Priority Habitats,Molinia caerulea-Crepis paludosa mire,<i>Molinia caerulea</i>-<i>Crepis paludosa</i> mire,M26,National Vegetation Classification,may include,
Purple moor grass and rush pasture,Purple moor grass and rush pasture,,Biodiversity Action Plan Priority Habitats,Molinia caerulea-Potentilla erecta mire,<i>Molinia caerulea</i>-<i>Potentilla erecta</i> mire,M25,National Vegetation Classification,may include,
Purple moor grass and rush pasture,Purple moor grass and rush pasture,,Biodiversity Action Plan Priority Habitats,Molinia caerulea-Cirsium dissectum fen-meadow,<i>Molinia caerulea</i>-<i>Cirsium dissectum</i> fen-meadow,M24,National Vegetation Classification,may include,
Purple moor grass and rush pasture,Purple moor grass and rush pasture,,Biodiversity Action Plan Priority Habitats,Juncus effusus/acutiflorus-Galium palustre rush-pasture,<i>Juncus effusus</i>/acutiflorus-<i>Galium palustre</i> rush-pasture,M23,National Vegetation Classification,may include,
Eutrophic standing waters,Eutrophic standing waters,,Biodiversity Action Plan Priority Habitats,Standing water: eutrophic,Standing water: eutrophic,G11,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex rostrata-Potentilla palustris tall-herb fen,<i>Carex rostrata</i>-<i>Potentilla palustris</i> tall-herb fen,S27,National Vegetation Classification,may include,
Upland hay meadow,Upland hay meadow,,Biodiversity Action Plan Priority Habitats,Marsh/marshy grassland,Marsh/marshy grassland,B5,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Scirpus lacustris ssp. tabernaemontani swamp,<i>Scirpus lacustris</i> ssp. <i>tabernaemontani</i> swamp,S20,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Scirpus maritimus swamp,<i>Scirpus maritimus</i> swamp,S21,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Glyceria fluitans water-margin vegetation,<i>Glyceria fluitans</i> water-margin vegetation,S22,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Other water-margin vegetation,Other water-margin vegetation,S23,National Vegetation Classification,may include,
Purple moor grass and rush pasture,Purple moor grass and rush pasture,,Biodiversity Action Plan Priority Habitats,Juncus subnodulosus-Cirsium palustre fen-meadow,<i>Juncus subnodulosus</i>-<i>Cirsium palustre</i> fen-meadow,M22,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Phragmites australis-Eupatorium cannabinum tall-herb fen,<i>Phragmites australis</i>-<i>Eupatorium cannabinum</i> tall-herb fen,S25,National Vegetation Classification,may include,
